role_id,role_name,required_skills
DS,Data Scientist,"Python, NumPy, Pandas, Scikit-learn, Statistics, SQL, Data Visualization, Machine Learning, Feature Engineering, Experiment Design, Model Evaluation, Jupyter"
MLE,Machine Learning Engineer,"Python, PyTorch, TensorFlow, Scikit-learn, Machine Learning, Deep Learning, MLOps, Docker, Kubernetes, REST APIs, Cloud, CI/CD"
DA,Data Analyst,"Spreadsheets, SQL, Python, Pandas, Data Visualization, Tableau, Power BI, Statistics, Reporting, Dashboards"
BE,Backend Developer,"Python, Java, Node.js, REST APIs, Databases, SQL, NoSQL, Git, Docker, Cloud, Testing, System Design"
DE,Data Engineer,"Python, SQL, ETL, Airflow, Spark, Data Warehousing, Cloud, Docker, Kafka, Linux, Git"
NLP,NLP Engineer,"Python, PyTorch, Transformers, NLP, Tokenization, Text Classification, Named Entity Recognition, Vector Databases, Prompt Engineering, Model Evaluation"
FE,Frontend Developer,"HTML, CSS, JavaScript, React, Vue.js, Angular, TypeScript, Redux, REST APIs, Testing, Git, Webpack"
FS,Full Stack Developer,"JavaScript, React, Node.js, Express, MongoDB, SQL, Git, Docker, REST APIs, Testing, Cloud"
AI,AI Research Scientist,"Python, TensorFlow, PyTorch, Deep Learning, Reinforcement Learning, Computer Vision, NLP, Generative AI, Research, Statistics, Publications"
CV,Computer Vision Engineer,"Python, OpenCV, PyTorch, TensorFlow, CNNs, Object Detection, Image Segmentation, Video Analytics, Model Optimization, CUDA"
DSR,Data Science Researcher,"Python, R, Statistics, Machine Learning, Deep Learning, Experimentation, Research, Papers, Feature Engineering, Data Visualization"
SE,Software Engineer,"Python, Java, C++, Data Structures, Algorithms, Git, OOP, Testing, Databases, System Design"
SE2,Senior Software Engineer,"Python, Java, C++, Microservices, Databases, Testing, Cloud, Git, Docker, Kubernetes, System Design"
ME,Mobile App Developer,"Java, Kotlin, Swift, React Native, Flutter, iOS, Android, REST APIs, Testing, Git"
GD,Game Developer,"C++, C#, Unity, Unreal Engine, 3D Graphics, Physics Engines, Git, Blender, AI in Games, Testing"
UI,UI/UX Designer,"Figma, Sketch, Adobe XD, Wireframing, Prototyping, User Research, Accessibility, Interaction Design, Responsive Design, Design Systems"
PM,Project Manager,"Agile, Scrum, Kanban, JIRA, Trello, Communication, Risk Management, Budgeting, Leadership, Stakeholder Management"
TPM,Technical Program Manager,"Agile, Scrum, Cloud, Data Systems, Architecture, Risk Management, Stakeholder Communication, Planning, Leadership"
SM,Scrum Master,"Agile, Scrum, JIRA, Team Facilitation, Conflict Resolution, Sprint Planning, Retrospectives, Coaching, Metrics Tracking"
QA,QA Engineer,"Python, Java, Selenium, JUnit, PyTest, Automation Testing, Manual Testing, CI/CD, Git, Bug Tracking"
SDET,SDET,"Java, Python, Selenium, PyTest, Automation, REST API Testing, CI/CD, Git, Cloud, Docker"
SECU,Security Engineer,"Python, Network Security, Penetration Testing, Firewalls, IDS/IPS, Cryptography, Linux, Cloud Security, Vulnerability Management, Risk Assessment"
CSE,Cloud Security Engineer,"AWS, Azure, GCP, Kubernetes Security, Docker Security, IAM, Compliance, Threat Modeling, SAST, DAST"
SECA,Cybersecurity Analyst,"Python, SIEM, IDS/IPS, Threat Hunting, Risk Assessment, Incident Response, SOC, Cloud Security, Network Security, Forensics"
DL,Deep Learning Engineer,"Python, TensorFlow, PyTorch, CNNs, RNNs, GANs, Reinforcement Learning, Transformers, CUDA, Model Deployment"
RL,Reinforcement Learning Engineer,"Python, PyTorch, TensorFlow, RL Algorithms, OpenAI Gym, Multi-Agent Systems, MLOps, Cloud, Model Evaluation"
BIO,Bioinformatics Engineer,"Python, R, Biopython, Genomics, Proteomics, Data Visualization, Statistics, Machine Learning, Pipelines, Databases"
HC,Healthcare Data Scientist,"Python, SQL, R, Biostatistics, Machine Learning, EHR Systems, Clinical Data, Predictive Modeling, Data Visualization"
FIN,Financial Data Analyst,"Python, R, SQL, Statistics, Excel, Financial Modeling, Risk Analysis, Power BI, Tableau, Data Visualization"
QA2,Quantitative Analyst,"Python, R, MATLAB, Statistics, Machine Learning, Probability, Derivatives, Risk Modeling, SQL, Finance"
BD,Big Data Engineer,"Hadoop, Spark, Hive, Kafka, Scala, Python, SQL, Data Warehousing, Airflow, Cloud"
IOT,IoT Engineer,"Python, C, C++, Embedded Systems, MQTT, Sensors, Arduino, Raspberry Pi, Cloud IoT, Security"
